System_Ref,Name,Note,Upload_to_FIDy
10269,Dream BiG Football Elite Programme,"Places will be limited and to secure places, register via this link - 

https://www.bigcic.org/dream-big-wellbeing-activities-sign-up. 

Once registrations are received, joining instructions will be emailed out ",FSD
10287,Girls Only Kicks,,FSD
10289,L.E.A.P. Virtual Baby Chattertime (0-15 Months Old),,FSD
10293,Centre 70,,FSD
10310,Lambeth Autism Group Parent And Carers Coffee Morning, ,FSD
10311,National Deaf Children Society Grants,,FSD
10314,Kids,,FSD
10322,Baby Singalong At Maytree Children's Centre,,FSD
10327,Lambeth Tigers,Lambeth Tigers prefer to be contacted via our website form and will try and get back to you within a few days. ,FSD
10330,Lifelong Family Links After School Club,,FSD
10331,Lifelong Family Links Weekend Club,,FSD
10332,Lifelong Family Links Lifeskills And Employability Training,,FSD
10333,Sunnyhill Primary School - After School Club,,FSD
10338,Being A Parent,Available at multiple SW2.,FSD
10339,"Strengthening Families, Strengthening Communities (SFSC)",Available at multiple locations SW2.,FSD
10340,Circle Of Security Parenting,Available at multiple locations SW2.,FSD
10341,Building Relationships For Stronger Families,Available at multiple locations SW2.,FSD
10342,Baby Steps,Available at multiple locations SW2.,FSD
10343,Brook - Healthy Lives For Young People,,FSD
10344,Lambeth College - Brixton Centre,,FSD
10345,Lambeth College - Clapham Centre,,FSD
10359,"Domestic Abuse, Violence Against Women And Girls",,FSD
10364,Speech And Language Therapy,,FSD
10379,Lambeth Young Carers Service & Adult Carers Service,,FSD
10396,M.I.N.D.,,FSD
10397,Lambeth Larder Emergency Food Support,,FSD
10403,Youth Employment Uk Free Skills & Careers Activities,,FSD
10440,The Dream Project,,FSD
10444,C.E.F. Lyncx Virtual Support,N/A,FSD
10481,S.L.A.M.- 24hr Mental Health Crisis Line,,FSD
10496,Chathealth,,FSD
10497,Parentline,,FSD
10505,Little Village,,FSD
10539,BASE Dance Studios,,FSD
10553,Cool It Art Online,,FSD
10564,South London Botanical Institute,,FSD
10567,Lerato Community Initiative,,FSD
10572,Brook Young People - Come Correct,,FSD
10577,The H.E.B.E Foundation,,FSD
10594,Clapham Film Unit - Animate At Home,,FSD
10595,Lambeth Made,,FSD
10602,Dash - Young People's Sexual Health And Substance Use Service,,FSD
10610,Vauxhall Leisure Centre,"Our facilities 

• Gym 
• Two group exercise studios'
• Group Cycle Studio
• Swimming pool - 25 metre, 3 lane pool
• Sauna and Steam

",FSD
10611,West Norwood Health And Leisure Centre,"Our facilities; 

• Gym 
• Studio 
• Swimming Pool 
• Hall/Room for hire
",FSD
10614,Hook House Community Centre  - Food Bank & Community Services,,FSD
10638,Kennington Park Community Centre,,FSD
10639,Agnes Riley Gardens,,FSD
10640,Brockwell Park,,FSD
10642,Serious About Tennis,,FSD
10643,Cleaver Square,,FSD
10644,Grafton Square,,FSD
10645,Hillside Gardens Park,,FSD
10646,Kennington Park,,FSD
10647,Larkhall Park,,FSD
10648,Loughborough Park,,FSD
10649,Max Roach Park,,FSD
10650,Milkwood Community Park,,FSD
10651,"Mostyn, Olive Morris And Dan Leno Gardens",,FSD
10652,Myatt's Fields Park,,FSD
10653,Norwood Park,,FSD
10655,Redevelopment Of Archbishops Park Sports Facilities,,FSD
10656,Rush Common,,FSD
10657,Ruskin Park,,FSD
10658,St Mary's Gardens,,FSD
10660,St Paul's Churchyard - Eden At St Paul's,,FSD
10662,Streatham Common,,FSD
10663,Streatham Common,,FSD
10664,Streatham Vale Park,,FSD
10665,The Rookery,,FSD
10666,Van Gogh Walk,,FSD
10667,Vauxhall Park,,FSD
10668,Vauxhall Pleasure Gardens,,FSD
10670,Pro Touch S.A. Academy Of Excellence,,FSD
10672,Baytree Youth Service,,FSD
10689,Baby Sensory Play At Stockwell Children's Centre,,FSD
10693,Chat And Play With A Better Start Worker At Sunnyhill Children's Centre,,FSD
10708,Wheels For Well Being S.E.N.D Sunday Cycling Sessions,,FSD
10709,Disability Sports Coach,,FSD
10726,"The Rose Arts London - Dance, Drama School And Talent Agency",,FSD
10730,Royal Society For Blind Children Online Programme September 20,,FSD
10746,Norwood Park Stay And Play One O'Clock Club,"Sessions are 1.5 hours and can be booked up to one week in advance for the following times:

• 9.30-11.00
• 11.30-1.00
• 1.30-3.00

Tea and coffee will be available to purchase during these sessions.
",FSD
10747,Mud Club at The Spinney,"Fridays 10.00-12.00 Noon (£2.00 per child)
Saturdays 10.30-12.00 Noon (£5.00 per child) 
",FSD
10753,C.E.F. Lyncx - Creative Step (Creative Saturday The Extra Project),"Lunch is provided. 
",FSD
10759,Messy Play At Clapham Manor Children's Centre,,FSD
10778,Sports City London Multi-Sports @ Agnes Riley Gardens,,FSD
10792,Women's Group At Tree House Children's Centre,,FSD
10794,Baby And Us,Available at multiple locations within SW2.,FSD
10795,Living With Teenagers,Available at multiple locations SW2.,FSD
10796,"Intro To Strenghtening Families, Strengthening Communities",Available at multiple locations SW2.,FSD
10797,Henry Healthy Families Programme,Available at multiple locations SW2.,FSD
10809,Lambeth Parent Forum,,FSD
10811,Springfield Community Flat Youth Club,,FSD
10814,St Helens Catholic School Breakfast Club,,FSD
10823,Escalate Football Development Programme (5 - 11 Years Old),"£90 - per 10 week programme (2 hours per week x10 weeks) or £12 per session

Next season; 

Block 1: 4th September 2021 - 6th November 2021

Block 2: 13th November 2021 - 29th January 2022
(no sessions 25th December and 1st January due to the Christmas break)

Block 3: 5th February 2022 - 9th April 2022

Block 4:  23rd April 2022 - 25th June 2022

Block 5 (4 weeks only): 2nd July 2022 - 23rd July 2022
",FSD
10827,"Lambeth Noise, Nuisance, Anti Social Behaviour And Safety - Vawg",,FSD
10832,Small Project Baby Clothes Library @ Oasis Hub Waterloo,,FSD
10834,Oasis Hub Waterloo - Playspace,,FSD
10836,Waterloo Food Bank,,FSD
10839,Scope's Disability Energy Support,,FSD
10844,L.E.A.P. Baby And Us (Empowering Parents Empowering Communities) With Leap,,FSD
10845,L.E.A.P. Portion Sizes Workshop,,FSD
10846,L.E.A.P. Eat Well For Less,,FSD
10850,L.E.A.P. Snuggle With Us Story Session,,FSD
10851,L.E.A.P. Tips For Tired Parents,,FSD
10854,L.E.A.P. Little Wanderers - Delivered In Partnership With St. Stephen's Children's Centre,,FSD
10864,L.E.A.P. Share A Story & Rhyme Time,,FSD
10866,Parent And Infant Relationship Service (PAIRS) One-To-One,,FSD
10867,L.E.A.P. Safer Families: Enhanced Caseworkers,,FSD
10868,L.E.A.P. Pregnancy Information For Nutrition And Exercise (P.I.N.E.),,FSD
10869,L.E.A.P. Family Nutrition (HENRY),,FSD
10870,L.E.A.P. Being A Parent (Empowering Parents Empowering Communities),,FSD
10872,L.E.A.P. Supporting Babies' Next Steps,,FSD
10874,The Weir Link,Sat/Sun: Open by appointment,FSD
10875,The Weir Link - After School Homework Club,,FSD
10878,Making It Real @  Agnes Riley,,FSD
10881,Wellness Course For Women At  Agnes Riley One O'Clock Club,,FSD
10887,L.E.A.P. Lambeth Pregnancy And Baby Festival,,FSD
10889,L.E.A.P. Women's Advice Surgeries,,FSD
10890,Snuggle Time Story Session,,FSD
10898,Virtual Breastfeeding Support Group,Call to book in advance.,FSD
10900,Stay And Play At Loughborough Children's Centre,,FSD
10904,Rose Vouchers At Jubilee Children's Centre,"
By referral only.",FSD
10910,Small Group Chatterbox  At Loughborough Children's Centre,,FSD
10911,Online Chattertime With Evelina London S.L.T.,,FSD
10912,Co-Parenting For Young Parents With St Michaels Fellowship,,FSD
10913,Sewing Class At Jubilee Children's Centre,,FSD
10915,Sing And Read With Me,Call to book in advance. ,FSD
10916,Rose Vouchers At Loughborough Children's Centre,By referral only. ,FSD
10920,Lambeth Youth Council - The Advocate Voice For Young People In Lambeth,,FSD
10922,Small Group Baby Explorers 0 To 18 Months At Benton's Lane Children's Centre,,FSD
10923,Small Group Stay And Play 0 To 4 Years At Benton's Lane Children's Centre,,FSD
10924,Employment And Training Support  At Benton's Lane Children's Centre,,FSD
10926,Keeping It Real At Benton's Lane Children's Centre,,FSD
10927,Messy Play At Benton's Lane Children's Centre,,FSD
10929,Stay And Play At Sunnyhill Children's Centre,,FSD
10930,Making It Real @ Benton's Lane,,FSD
10932,Chat And Play With A Better Start Worker At Benton's Lane Children's Centre,,FSD
10934,Natural Thinkers At Hillside Gardens One O'Clock Club,"To book please call the day before the session you would like to book on to between 

Monday to Thursday: 10:00 to 15:00 
Friday: 10:00 to 13:00
",FSD
10938,Making It Real At Hitherfield Children's Centre,"
To book please call the day before the session you would like to attend

Monday-Thursday: 10:00 - 15:00
Friday: 10:00 - 13:00

Please note mask are still required at our centres, unless you are exempt.
",FSD
10944,Chat And Play With A Better Start Worker At Streatham Hub Children's Centre,"To book please call the day before the session you would like to attend

Monday-Thursday: 10:00 - 15:00
Friday: 10:00 - 13:00

Please note mask are still required at our centres, unless you are exempt.
",FSD
10947,Move And Groove At Sunnyhill Children's Centre,,FSD
10948,Small Group Baby Explorers 0 To18 Months At Sunnyhill Children's Centre,,FSD
10952,Chattertime At Sunnyhill Children's Centre,,FSD
10957,Small Group Stay And Play 0 To 4 Years At Hitherfield Children's Centre,"To book please call the day before the session you would like to attend

Monday to Thursday: 10:00 to 15:00
Friday: 10:00 to 13:00

Please note mask are still required at our centres unless you are exempt.
",FSD
10958,Small Group A.S.D. Stay And Play At Hillside Gardens One O'Clock Club,"
To book please call the day before the session you would like to attend

Monday-Thursday: 10:00 – 15:00
Friday: 10:00 – 13:00

Please note mask are still required at our centres unless you are exempt.
",FSD
10963,Stay And Play At Jessop Children's Centre,,FSD
10964,Chat And Play At Liz Atkinson Children's Centre,,FSD
10965,L.E.A.P. Snuggle Time Story Session,,FSD
10966,South London Warehouse (Clapham Park Foodbank),,FSD
10967,Vauxhall Foodbank,"Please note, we are no longer open for in person sessions but we are running a delivery service for addresses within Lambeth.",FSD
10968,Norwood & Brixton Foodbank,"Please note, we are no longer open for in person sessions but we are running a delivery service at the times specified. ",FSD
10969,Fulham Girls Kicks Streatham Vale,,FSD
10970,Fulham Girls Kicks Elmgreen School,,FSD
10971,Fulham Girls Kicks Marcus Lipton,,FSD
10984,Dream BiG Storytelling & Music Creation Workshop,"Places will be limited and to secure places, register via this link - 

https://www.bigcic.org/dream-big-wellbeing-activities-sign-up. 

Once registrations are received, joining instructions will be emailed out ",FSD
10995,Exceed Reading Stars,,FSD
11010,Swimbies,,FSD
11080,Baby Explorers 0 To 8 Months At Ethelred Children's Centre,,FSD
11084,Natural Thinkers At Ethelred Children's Centre,,FSD
11092,Stay And Play At Stockwell Children's Centre,,FSD
11103,Jigsaw Contact Service,"The hourly fee varies depending on the length and nature of the contact. Jigsaw may be booked for a full day, half-day, or hourly. 


",FSD
11110,Swan Family Centre Lambeth,"Centre charge details available on request. 
",FSD
11111,Aim High Dance Academy,We also offer classes for parents and children aged between 1 - 3 years old. ,FSD
11120,Play Out! 18 Months To 4 Years At Hitherfield Children's Centre,"To book please call the day before the session you would like to book on to between 

Monday to Thursday: 10:00 to 15:00

Friday: 10:00 to 13:00

",FSD
11121,Get Going With Sewing At Benton's Lane Children's Centre,,FSD
11122,Baby Explorers At Streatham Hub Children's Centre,,FSD
11123,Play Out! 18 Months To 4 Years At Hillside One O'Clock Club,"To book please call the day before the session you would like to book on to between 

Monday to Thursday: 10:00 to 15:00
Friday: 10:00 to 13:00

",FSD
11125,Baby Massage 0 To 6 Months  At Benton's Lane Children's Centre,,FSD
11135,Health Visitors Development Reviews At Ethelred Children's Centre,,FSD
11143,Kids' City At Reay Primary School - Breakfast Club,"Prices:
- Breakfast Club                           £5.00
- Superheroes Breakfast Club     £7.50

",FSD
11148,Making It Real At Ethelred Children's Centre,,FSD
11149,S.E.N.D. 1:1 Sessions (By Invite Only) At Ethelred Children's Centre,,FSD
11153,Toddlers Explorers - 9 Months And Over At Ethelred Children's Centre,,FSD
11162,Cook Up With St Michaels At Henry Fawcett Children's Centre,,FSD
11167,Chattertime At Benton's Lane Children's Centre,"Please contact the Children's Centre to book in advance. 
",FSD
11168,Childminders And Professional Carers' Group Benton's Lane Children's Centre,"Please note this group runs only for the first 3 Wednesdays of every month
",FSD
11171,Natural Thinkers Family Fun At Liz Atkinson Children's Centre,,FSD
11183,Breastfeeding Support Group At Jubilee Children's Centre,"By Referral only, please get in contact for more information. 
",FSD
11190,Women's Advice Surgery At Liz Atkinson Children's Centre,,FSD
11191,Leap - Chattertime At Tree House Children's Centre,,FSD
11193,Citizen's Advice At Maytree Children's Centre,Appointments are approximately 45 minutes each so please book in advance. ,FSD
11199,Kids' City At Reay Primary School – After School Club,"Prices:

After School Club                   £12.50
Superheroes After School     £17.50",FSD
11202,Vanguard School,,FSD
11221,Dream BiG Employment Hub,"Places will be limited and to secure places, register via this link - 

https://www.bigcic.org/dream-big-wellbeing-activities-sign-up. 

Once registrations are received, joining instructions will be emailed out.
",FSD
11278,Baby And Me At Jubilee Children's Centre,,FSD
11279,Making A Mosaic Course At Jubilee Children's Centre,"Call to book in advance.
",FSD
11284,Guide Dogs,,FSD
11293,Turn2us,,FSD
11294,Mulberry Outdoor Stay And Play,"We have spare wellies available if required.

Thursday  9.30am - 11.30am Under 9 months Baby session - indoors.

",FSD
11296,S.L.A.M.- 24hr Mental Health Crisis Line,,FSD
11297,Christ Church (Streatham) Church Of England Primary School - Early Birds Breakfast Club,£5 (£4.25 for each sibling),FSD
11306,Dream BiG Urban Film Club,"Places will be limited and to secure places, register via this link - 

https://www.bigcic.org/dream-big-wellbeing-activities-sign-up. 

Once registrations are received, joining instructions will be emailed out.
",FSD
11353,Werewolves Of London Special Ice Hockey Club,"You can find us on Social Media at, 

Facebook:  https://www.facebook.com/WerewolvesOnIce
Twitter:  https://twitter.com/WerewolvesOnIce
You Tube: https://www.youtube.com/user/WerewolvesOnIce
",FSD
11355,Specialist Infant Feeding One One  Session At Henry Fawcett Children''s Centre,,FSD
11357,Child Health Clinic At Henry Fawcett Chidlren's Centre,,FSD
11358,Illustrate A Book With Morley College At Ethelred Children's Centre,,FSD
11367,Mosaic Course At Jessop Children's Centre,,FSD
11368,Early Words Together - 2 Years Literacy Development At Hitherfield Children's Centre,"To book please call the day before the session you would like to book on to between

Monday-Thursday: 10:00 to 15:00
Friday: 10:00 to 13:00

",FSD
11370,Chattertime At Tree House Children's Centre,,FSD
11394,Play Out! At Benton's Lane Children's Centre,,FSD
11395,Meet And Greet For New Parents And Children At Benton's Lane Children's Centre,,FSD
476,Springfield Community Flat After School Club,,ECD
697,Rosemead Preparatory School & Nursery,"Nursery session times:

Part-time children - 8.55 am -12.00 noon   

Full time children - 8.55 am - 3.20 pm   

Early morning club from 7.30 am 

After school care until 6.00 pm. 

Flexibility with regards to attendance patterns are offered.",ECD
698,The Whitehouse Prep & Woodentops Kindergarten,"
Full day sessions         08:30 am - 16.00 pm

Morning sessions         08:30 am -12.00 noon

Afternoon sessions    13.00 pm - 16.00 pm

Lunch Club (optional)  12.00 noon - 13.00 pm 
 
",ECD
699,Broomwood Hall School,Minibus collection from SW12 areas,ECD
701,Streatham & Clapham High School Junior Dept,,ECD
702, London Steiner School,"For information on costs, please visit below website hyperlink::
http://londonsteinerschool.org/admissions-2/fees/",ECD
877,Cherubins Day Nursery Ltd,,ECD
885,Julians Primary School - Breakfast Club,"Cost:
£3 per day but if a child comes at 8.30am, the cost is only £1",ECD
919,Macaulay Church Of England Primary School - Breakfast Club,,ECD
942,Loughborough Primary School - Breakfast Club,,ECD
961,Streatham Wells Primary School - Breakfast Club,,ECD
972,Hitherfield Primary School - Breakfast Club,,ECD
974,Immanuel And St Andrew C Of E Primary School - Breakfast Club, Ad hoc sessions are charged at £6.00 - Child Care Vouchers are accepted,ECD
975,Oasis Academy Johanna - Breakfast Club,"Breakfast Club is free to those in receipt of free school meals.
",ECD
988,Rosendale Primary School Breakfast Club,,ECD
1706,Clapham Manor - Breakfast Club,,ECD
2665,Hill Mead Primary School - Breakfast Club,Breakfast club starts every day at 7:30 am and there is no need to apply for your child to attend since it is free.,ECD
5114,S.Y.C.T. Streatham Wednesday Group,,FSD
6022,Bonneville Primary School - Reading Café,,ECD
6023,Henry Cavendish Primary School -  Breakfast Club (Balham),If you would like any more information about breakfast club or need to make any amendments please email our staff using breakfastclub@henrycavendish.co.uk.,ECD
6024,Sudbourne Primary School - Breakfast Club,,ECD
6025,Heathbrook Primary School - Breakfast Club,,ECD
6029,Sunnyhill Primary School - Breakfast Club,,ECD
6041,Allen Edwards Primary School - Breakfast Club,,ECD
6043,Crown Lane Primary School - Breakfast Club,,ECD
6130,Stockwell Primary School - Breakfast Club,,ECD
6132,Richard Atkins Primary School - Breakfast Club,,ECD
6138,Lily's Kids Klub,Please note from 3pm to 6pm daily £25.00 weekly £70.00,ECD
6143,Jubilee Primary School - Breakfast Club,,ECD
6149,Christ Church Primary Sw9 - Breakfast Club,,ECD
6151,Wyvil Primary School - Breakfast Club,,ECD
6197,Fenstanton Infant School - Breakfast Club,,ECD
6580,Corpus Christi Catholic Primary School - Breakfast Club,,FSD
6583,Archbishop Sumner School - Breakfast Club,,ECD
6584,Jessop Primary School - Breakfast Club,,ECD
6589,Kingswood Primary School - Breakfast Club,,ECD
6602,St Andrew's Roman Catholic Primary - Sunrise Breakfast Club,Please note: the last serving of breakfast will be at 8.15am,ECD
6603,Telferscot Primary School - Breakfast Club,"Breakfast club is one drop off time only, due to the current restrictions, of 7.30am to 7.50am. 

Sessions are pre-booked, but if you do require a place, please email Sammi directly. Please note that we are not currently offering ad hoc places. This will be reviewed as the term goes on.
",ECD
6606,Henry Cavendish Primary School  - Breakfast Club (Streatham),,ECD
7244,Walnut Tree Walk Primary School - Breakfast Club,,ECD
7260,Fit For Sport At Paxton Primary School - Breakfast Club,,ECD
7263,Glenbrook Primary School - Breakfast Club,,FSD

