System_Ref,FIS_Provider_Name,Upload_to_FIDy,Age_Group_Description,Number_Registered_For,Number_Currently_Caring_For,Number_Of_Vacancies
10158,Employment Support At Maytree Children's Centre,FSD,0-4,,,
10164,Hand Sewing Embroidery Class At Loughborough Children's Centre,FSD,0-4,,,
10171,Lambeth Talking Therapies At Tree House Children's Centre,FSD,0-4,,,
10174,Chattertime At Maytree Children's Centre,FSD,0-4,,,
10187,Baby Massage At Sunnyhill Children's Centre,FSD,0-4,,,
10193,E.S.O.L. At Loughborough Children's Centre,FSD,0-4,,,
10195,Wriggle And Rhyme At Tree House Children's Centre,FSD,0-1,,,
10232,Inclusive Swimming Lessons At Clapham Leisure Centre 2 To 6 Yrs Old And 7+,FSD,2-6,,,
10237,Martial Arts And Youth Mentoring - Warrior Mindset Programme,FSD,13-15,,,
10238,Martial Arts And Youth Mentoring - Peaceful Warrior Programme',FSD,10-11,,,
10239,Inspirational Youth,FSD,5-18,,,
10244,Lambeth Autism Advisory Service,FSD,5-25,,,
10247,Tulse Hill Adventure Playground Youth And Play Session,FSD,8-16,,,
10249,Tulse Hill Bloco After School Club,FSD,8-18,,,
10269,Dream BiG Football Elite Programme,FSD,10-13,,,
10287,Girls Only Kicks,FSD,11-18,,,
10289,L.E.A.P. Virtual Baby Chattertime (0-15 Months Old),FSD,0-2,,,
10314,Kids,FSD,0-25,,,
10322,Baby Singalong At Maytree Children's Centre,FSD,0-1.5,,,
10330,Lifelong Family Links After School Club,FSD,0-5,23,,
10330,Lifelong Family Links After School Club,FSD,5-8,23,,
10330,Lifelong Family Links After School Club,FSD,5-25,,,
10331,Lifelong Family Links Weekend Club,FSD,0-5,23,,
10331,Lifelong Family Links Weekend Club,FSD,5-8,23,,
10331,Lifelong Family Links Weekend Club,FSD,5-25,,,
10332,Lifelong Family Links Lifeskills And Employability Training,FSD,0-5,23,,
10332,Lifelong Family Links Lifeskills And Employability Training,FSD,5-8,23,,
10332,Lifelong Family Links Lifeskills And Employability Training,FSD,15-25,,,
10333,Sunnyhill Primary School - After School Club,FSD,4-11,,,
10359,"Domestic Abuse, Violence Against Women And Girls",FSD,13-25,,,
10440,The Dream Project,FSD,11-25,,,
10444,C.E.F. Lyncx Virtual Support,FSD,6-15,,,
10496,Chathealth,FSD,11-19,,,
10505,Little Village,FSD,0-5,,,
10553,Cool It Art Online,FSD,8-16,,,
10564,South London Botanical Institute,FSD,0-25,,,
10567,Lerato Community Initiative,FSD,11-19,,,
10572,Brook Young People - Come Correct,FSD,13-25,,,
10577,The H.E.B.E Foundation,FSD,13-19,,,
10594,Clapham Film Unit - Animate At Home,FSD,5-18,,,
10595,Lambeth Made,FSD,16-25,,,
10602,Dash - Young People's Sexual Health And Substance Use Service,FSD,13-25,,,
10642,Serious About Tennis,FSD,3-18,,,
10670,Pro Touch S.A. Academy Of Excellence,FSD,4-16,,,
10672,Baytree Youth Service,FSD,6-20,,,
10689,Baby Sensory Play At Stockwell Children's Centre,FSD,0-4,,,
10693,Chat And Play With A Better Start Worker At Sunnyhill Children's Centre,FSD,0-4,,,
10708,Wheels For Well Being S.E.N.D Sunday Cycling Sessions,FSD,0-18,,,
10709,Disability Sports Coach,FSD,0-25,,,
10726,"The Rose Arts London - Dance, Drama School And Talent Agency",FSD,3-25,,,
10746,Norwood Park Stay And Play One O'Clock Club,FSD,0-4,,,
10747,Mud Club at The Spinney,FSD,0-5,,,
10753,C.E.F. Lyncx - Creative Step (Creative Saturday The Extra Project),FSD,11-25,,,
10759,Messy Play At Clapham Manor Children's Centre,FSD,0-4,,,
10778,Sports City London Multi-Sports @ Agnes Riley Gardens,FSD,5-16,,,
10792,Women's Group At Tree House Children's Centre,FSD,0-4,,,
10809,Lambeth Parent Forum,FSD,0-25,,,
10814,St Helens Catholic School Breakfast Club,FSD,5-11,,,
10823,Escalate Football Development Programme (5 - 11 Years Old),FSD,5-11,,,
10827,"Lambeth Noise, Nuisance, Anti Social Behaviour And Safety - Vawg",FSD,13-25,,,
10844,L.E.A.P. Baby And Us (Empowering Parents Empowering Communities) With Leap,FSD,0-1,,,
10845,L.E.A.P. Portion Sizes Workshop,FSD,0-4,,,
10846,L.E.A.P. Eat Well For Less,FSD,0-4,,,
10850,L.E.A.P. Snuggle With Us Story Session,FSD,0-4,,,
10851,L.E.A.P. Tips For Tired Parents,FSD,0-4,,,
10854,L.E.A.P. Little Wanderers - Delivered In Partnership With St. Stephen's Children's Centre,FSD,0-3,,,
10864,L.E.A.P. Share A Story & Rhyme Time,FSD,0-4,,,
10866,Parent And Infant Relationship Service (PAIRS) One-To-One,FSD,0-4,,,
10867,L.E.A.P. Safer Families: Enhanced Caseworkers,FSD,0-3,,,
10869,L.E.A.P. Family Nutrition (HENRY),FSD,0-4,,,
10870,L.E.A.P. Being A Parent (Empowering Parents Empowering Communities),FSD,2-11,,,
10872,L.E.A.P. Supporting Babies' Next Steps,FSD,0-1,,,
10875,The Weir Link - After School Homework Club,FSD,9-11,,,
10881,Wellness Course For Women At  Agnes Riley One O'Clock Club,FSD,0-4,,,
10889,L.E.A.P. Women's Advice Surgeries,FSD,0-3,,,
10898,Virtual Breastfeeding Support Group,FSD,0-1,,,
10900,Stay And Play At Loughborough Children's Centre,FSD,0-4,,,
10904,Rose Vouchers At Jubilee Children's Centre,FSD,0-4,,,
10910,Small Group Chatterbox  At Loughborough Children's Centre,FSD,0-4,,,
10911,Online Chattertime With Evelina London S.L.T.,FSD,0-4,,,
10912,Co-Parenting For Young Parents With St Michaels Fellowship,FSD,0-4,,,
10915,Sing And Read With Me,FSD,0-4,,,
10916,Rose Vouchers At Loughborough Children's Centre,FSD,0-4,,,
10920,Lambeth Youth Council - The Advocate Voice For Young People In Lambeth,FSD,11-19,,,
10922,Small Group Baby Explorers 0 To 18 Months At Benton's Lane Children's Centre,FSD,0-2,,,
10923,Small Group Stay And Play 0 To 4 Years At Benton's Lane Children's Centre,FSD,0-4,,,
10924,Employment And Training Support  At Benton's Lane Children's Centre,FSD,0-4,,,
10926,Keeping It Real At Benton's Lane Children's Centre,FSD,0-4,,,
10927,Messy Play At Benton's Lane Children's Centre,FSD,0-4,,,
10929,Stay And Play At Sunnyhill Children's Centre,FSD,0-4,,,
10930,Making It Real @ Benton's Lane,FSD,0-4,,,
10932,Chat And Play With A Better Start Worker At Benton's Lane Children's Centre,FSD,0-4,,,
10934,Natural Thinkers At Hillside Gardens One O'Clock Club,FSD,0-4,,,
10938,Making It Real At Hitherfield Children's Centre,FSD,0-4,,,
10944,Chat And Play With A Better Start Worker At Streatham Hub Children's Centre,FSD,0-4,,,
10947,Move And Groove At Sunnyhill Children's Centre,FSD,0-4,,,
10948,Small Group Baby Explorers 0 To18 Months At Sunnyhill Children's Centre,FSD,0-1.5,,,
10952,Chattertime At Sunnyhill Children's Centre,FSD,0-4,,,
10957,Small Group Stay And Play 0 To 4 Years At Hitherfield Children's Centre,FSD,0-4,,,
10958,Small Group A.S.D. Stay And Play At Hillside Gardens One O'Clock Club,FSD,0-4,,,
10963,Stay And Play At Jessop Children's Centre,FSD,0-4,,,
10965,L.E.A.P. Snuggle Time Story Session,FSD,0-3,,,
10967,Vauxhall Foodbank,FSD,16-25,,,
10969,Fulham Girls Kicks Streatham Vale,FSD,11-19,,,
10970,Fulham Girls Kicks Elmgreen School,FSD,11-19,,,
10971,Fulham Girls Kicks Marcus Lipton,FSD,11-19,,,
10984,Dream BiG Storytelling & Music Creation Workshop,FSD,12-16,,,
10995,Exceed Reading Stars,FSD,6-11,,,
11080,Baby Explorers 0 To 8 Months At Ethelred Children's Centre,FSD,0-1,,,
11084,Natural Thinkers At Ethelred Children's Centre,FSD,0-4,,,
11092,Stay And Play At Stockwell Children's Centre,FSD,0-4,,,
11110,Swan Family Centre Lambeth,FSD,0-18,,,
11111,Aim High Dance Academy,FSD,4-16,,,
11120,Play Out! 18 Months To 4 Years At Hitherfield Children's Centre,FSD,1-4,,,
11121,Get Going With Sewing At Benton's Lane Children's Centre,FSD,0-4,,,
11122,Baby Explorers At Streatham Hub Children's Centre,FSD,0-1.5,,,
11123,Play Out! 18 Months To 4 Years At Hillside One O'Clock Club,FSD,0-4,,,
11125,Baby Massage 0 To 6 Months  At Benton's Lane Children's Centre,FSD,0-1.5,,,
11135,Health Visitors Development Reviews At Ethelred Children's Centre,FSD,0-1,,,
11143,Kids' City At Reay Primary School - Breakfast Club,FSD,0-5,15,,
11143,Kids' City At Reay Primary School - Breakfast Club,FSD,5-8,15,,
11148,Making It Real At Ethelred Children's Centre,FSD,0-4,,,
11149,S.E.N.D. 1:1 Sessions (By Invite Only) At Ethelred Children's Centre,FSD,0-4,,,
11153,Toddlers Explorers - 9 Months And Over At Ethelred Children's Centre,FSD,0-4,,,
11168,Childminders And Professional Carers' Group Benton's Lane Children's Centre,FSD,0-4,,,
11171,Natural Thinkers Family Fun At Liz Atkinson Children's Centre,FSD,1-4,,,
11183,Breastfeeding Support Group At Jubilee Children's Centre,FSD,0-1,,,
11190,Women's Advice Surgery At Liz Atkinson Children's Centre,FSD,0-4,,,
11191,Leap - Chattertime At Tree House Children's Centre,FSD,0-4,,,
11193,Citizen's Advice At Maytree Children's Centre,FSD,0-4,,,
11199,Kids' City At Reay Primary School – After School Club,FSD,0-5,15,,
11199,Kids' City At Reay Primary School – After School Club,FSD,5-8,15,,
11199,Kids' City At Reay Primary School – After School Club,FSD,3-11,,,
11202,Vanguard School,FSD,11-19,,,
11221,Dream BiG Employment Hub,FSD,16-24,,,
11278,Baby And Me At Jubilee Children's Centre,FSD,0-1,,,
11279,Making A Mosaic Course At Jubilee Children's Centre,FSD,0-4,,,
11284,Guide Dogs,FSD,0-25,,,
11294,Mulberry Outdoor Stay And Play,FSD,0-3,,,
11297,Christ Church (Streatham) Church Of England Primary School - Early Birds Breakfast Club,FSD,4-11,,,
11306,Dream BiG Urban Film Club,FSD,11-16,,,
11353,Werewolves Of London Special Ice Hockey Club,FSD,5-25,,,
11355,Specialist Infant Feeding One One  Session At Henry Fawcett Children''s Centre,FSD,0-1,,,
11357,Child Health Clinic At Henry Fawcett Chidlren's Centre,FSD,0-1,,,
11358,Illustrate A Book With Morley College At Ethelred Children's Centre,FSD,0-4,,,
11367,Mosaic Course At Jessop Children's Centre,FSD,0-4,,,
11368,Early Words Together - 2 Years Literacy Development At Hitherfield Children's Centre,FSD,2-4,,,
11370,Chattertime At Tree House Children's Centre,FSD,0-4,,,
11394,Play Out! At Benton's Lane Children's Centre,FSD,1-4,,,
11395,Meet And Greet For New Parents And Children At Benton's Lane Children's Centre,FSD,0-4,,,

