System_Ref,Name,Provider_Type_Description,Day_Care_Type_Description,First_Line,Second_Line,Third_Line,Locality,Town,Post_Code,Telephone,Mobile,E_Mail,Web_Site2
9974,The Small Project - Baby Clothes Library,Organisation,,Imperial War Museum,Lambeth Road,,,London,SE1 6HZ,,,linda@thesmallproject.org.uk,https://www.thesmallproject.org.uk/about/
8994,Young Minds,Organisation,,,,,,,,0808 802 5544,,,https://youngminds.org.uk/
8995,Time To Change,Organisation,,15 - 19 Broadway,,,Stratford,London,E15 4BQ,020 8215 2356,,info@time-to-change.org.uk,https://www.time-to-change.org.uk/
9741,Julian Cousins Sports,Organisation,,Clapham Common West Side,,,,London,SW4 9AN,07802 851 453,,julian@juliancousinssports.com,https://www.juliancousinssports.com/
10920,Lambeth Youth Council - The Advocate Voice For Young People In Lambeth,Activity,,Lambeth Town Hall,Brixton Hill,,,London,SW2 1RW,,,,https://www.lambethyouthcouncil.org/
10965,L.E.A.P. Snuggle Time Story Session,Activity,,N/A Online Only ,,,,,,07949 073 437,,kdunkley@ncb.org.uk,https://www.leaplambeth.org.uk/events
10969,Fulham Girls Kicks Streatham Vale,Activity,,Streatham Vale Park,Abercairn Road,,,London,SW16 5AH,,,,https://www.fulhamkicks.com/sessions.htm?typeId=107
10970,Fulham Girls Kicks Elmgreen School,Activity,,Elmgreen Secondary School,Elmcourt Road,,,London,SE27 9BZ,,,,https://www.fulhamkicks.com/sessions.htm?typeId=107
10971,Fulham Girls Kicks Marcus Lipton,Activity,,Marcus Lipton Centre,Minet Road,,,London,SW9 7UH,,,,https://www.fulhamkicks.com/sessions.htm?page=2
10984,Dream BiG Storytelling & Music Creation Workshop,Activity,,3 Space, International House,Canterbury Crescent,,London,SW9 7QD,,07908 950 630,lionel.best@bigcic.org,https://www.bigcic.org/
11306,Dream BiG Urban Film Club,Activity,,Rathbone Society,The Old Library,14 - 16 Knight's Hill,West Norwood ,London,SE27 0HY,07908 950 630,,lionel.best@bigcic.org,
9940,L.E.A.P. Yoga With Claudia,Activity,,N/A Online Only,,,,,,,,info@healthylivingplatform.org,http://healthylivingplatform.org/
7421,Care Trade - The School House Cafe,Activity,,The School House Cafe,2 Monnow Road,,,London,SE1 5RN,020 7060 5706,,Judith.kerem@caretradeuk.org,http://www.care-trade.org/answers-for-autism/the-school-house-cafe/
7427,Oasis Nature Garden,Activity,,Corner of Larkhall Lane and Studley Road,,,,London,SW4 6SP,020 7498 2329,,info@oasisplay.org.uk,https://oasisplay.org.uk/nature-garden/
7656,Disability Register And Liberty Card,Activity,,Civic Centre,6 Brixton Hill,,,London,SW2 1EG,020 7926 9140,,liberty@lambeth.gov.uk,
7068,Coin Street Young Leaders,Youth Projects,,108 Stamford Street,,,,London,SE1 9NH,020 7021 1600,,community@coinstreet.org,https://coinstreet.org/events/new-young-leaders-programme/
4696,South Central Youth Ltd - Youth Projects,Youth Projects,,16 Wellfield Road,,,,London,SW16 2BP,,,info@sc-youth.co.uk,https://www.sc-youth.co.uk/
10672,Baytree Youth Service,Youth Projects,,The Baytree Centre,300-302 Brixton Road,,,London,SW9 6AE,0207 733 5283,,youth@baytreecentre.org.uk,https://www.baytreecentre.org/
10237,Martial Arts And Youth Mentoring - Warrior Mindset Programme,Youth Projects,,The John Corfield Centre,Conyers Road,Streatham,,London,SW16 6LS,07445 266 096,,louise@inspirationalyouth.org,https://www.Inspirationalyouth.org
10238,Martial Arts And Youth Mentoring - Peaceful Warrior Programme',Youth Projects,,The John Corfield Centre,Conyers Road,Streatham,,London,SW16 6LS,07445 266 096,,louise@inspirationalyouth.org,http://www.inspirationalyouth.org/
10594,Clapham Film Unit - Animate At Home,Holiday Activities,,N/A online only ,,,,,,07971 284 794,,claphamfilmunit@gmail.com,https://www.claphamfilmunit.com/
9975,Coin Street Upgrade Yourself: Tutoring And Mentoring,Out Of School Tuition,,108 Stamford Street,,,,London,SE1 9NH,020 7021 1600,,community@coinstreet.org,https://coinstreet.org/events/categories/young-people/
10344,Lambeth College - Brixton Centre,College,,Lambeth College,54 - 56 Brixton Hill,,,London,SW2 1QS,020 7501 5010,,courses@lambethcollege.ac.uk,https://www.lambethcollege.ac.uk/
10345,Lambeth College - Clapham Centre,College,,Lambeth College,45 Clapham Common South Side,,,London,SW4 9BL,020 7501 5010,,courses@lambethcollege.ac.uk,https://www.lambethcollege.ac.uk/
10643,Cleaver Square,Parks And Playgrounds,,Cleaver Square,,,,London,SE11 4EA,,,,https://www.lambeth.gov.uk/places/cleaver-square
10644,Grafton Square,Parks And Playgrounds,,Grafton Square,,,,London,SW4 0DE,,,,https://www.lambeth.gov.uk/places/grafton-square
10645,Hillside Gardens Park,Parks And Playgrounds,,Hillside Road,,,,London,SW2 3HL,,,,https://www.lambeth.gov.uk/places/hillside-gardens-park
10646,Kennington Park,Parks And Playgrounds,,Kennington Park Road,,,,London,SE11 4BE,,,,
10647,Larkhall Park,Parks And Playgrounds,,Courland Grove,,,,London,SW8 2PX,,,,https://www.lambeth.gov.uk/places/larkhall-park
10648,Loughborough Park,Parks And Playgrounds,,Moorland Road,,,,London,SW9 8UA,,,,https://www.lambeth.gov.uk/places/loughborough-park
10649,Max Roach Park,Parks And Playgrounds,,Brixton Road,,,,London,SW9 7ND,,,,https://www.lambeth.gov.uk/places/max-roach-park
10650,Milkwood Community Park,Parks And Playgrounds,,Milkwood Road,,,,London,SE24 0HZ,,,,https://www.lambeth.gov.uk/places/milkwood-community-park
10651,"Mostyn, Olive Morris And Dan Leno Gardens",Parks And Playgrounds,,,,,,,,,,,https://www.lambeth.gov.uk/places/mostyn-olive-morris-and-dan-leno-gardens
10652,Myatt's Fields Park,Parks And Playgrounds,,Cormont Road,,,,London,SE5 9RA,,,,https://www.lambeth.gov.uk/places/myatts-fields-park
10653,Norwood Park,Parks And Playgrounds,,Salter's Hill,,,,London,SE19 1DZ,,,,https://www.lambeth.gov.uk/places/norwood-park
10655,Redevelopment Of Archbishops Park Sports Facilities,Parks And Playgrounds,,Carlisle Lane,,,,London,SE1 7LE,,,,https://www.lambeth.gov.uk/places/redevelopment-of-archbishops-park-sports-facilities
10656,Rush Common,Parks And Playgrounds,,Brixton Hill,,,,London,SW2,,,,https://www.lambeth.gov.uk/places/rush-common
10657,Ruskin Park,Parks And Playgrounds,,Ruskin Park,Denmark Hill,,,London,SE5 8EL,,,,https://www.lambeth.gov.uk/places/ruskin-park
10658,St Mary's Gardens,Parks And Playgrounds,,Lambeth Palace Road,,,,London,SE1 7EP,,,,https://www.lambeth.gov.uk/places/st-marys-gardens
10660,St Paul's Churchyard - Eden At St Paul's,Parks And Playgrounds,,Rectory Grove,,,,London,SW4 0DR,,,,https://www.lambeth.gov.uk/places/st-pauls-churchyard-eden-at-st-pauls
10662,Streatham Common,Parks And Playgrounds,,,,,,,,,,,https://www.lambeth.gov.uk/PLACES/STREATHAM-COMMON
10663,Streatham Common,Parks And Playgrounds,,Streatham High Road,,,,London,SW16 1BS,,,,https://www.lambeth.gov.uk/PLACES/STREATHAM-COMMON
10664,Streatham Vale Park,Parks And Playgrounds,,Abercairn Road,,,,London,SW16 5AL,,,,https://www.lambeth.gov.uk/places/streatham-vale-park
10665,The Rookery,Parks And Playgrounds,,The Rookery Barn,The Rookery,Streatham Common South,,London,SW16 3BX,,,,https://www.lambeth.gov.uk/places/the-rookery
10666,Van Gogh Walk,Parks And Playgrounds,,Van Gogh Walk,,,,London,SW9 0HD,,,,https://www.lambeth.gov.uk/places/van-gogh-walk
10667,Vauxhall Park,Parks And Playgrounds,,Fentiman Road,,,,London,SW8 1JY,,,,https://www.lambeth.gov.uk/places/vauxhall-park
10668,Vauxhall Pleasure Gardens,Parks And Playgrounds,,Tyers Street,,,,London,SE11 5HL,,,,https://www.lambeth.gov.uk/places/vauxhall-pleasure-gardens
10639,Agnes Riley Gardens,Parks And Playgrounds,,Atkins Road,,,,London,SW12 0AH,,,,https://www.lambeth.gov.uk/places/agnes-riley-gardens
10640,Brockwell Park,Parks And Playgrounds,,Brockwell Park Gardens,,,,London,SE24 9BJ,,,,https://www.lambeth.gov.uk/places/brockwell-park%20
10311,National Deaf Children Society Grants,Charity,,"Ground Floor South, Castle House",37 - 45 Paul Street,,,London,EC2A 4LS,0808 800 8880,,ndcs@ndcs.org.uk,https://www.ndcs.org.uk/our-services/services-for-families/apply-for-a-grant/
9934,Navigate: Emotional Support For Parents With Scope,Charity,,N/A Online & Telephone Only,,,,,,080 8801 0510,,customerteam@Scope.org.uk,https://www.scope.org.uk/family-services/navigate/
9335,The Cochlear Implanted Children's Support Group (CICS Group),Charity,,N/A Online & Telephone Only,,,,,,020 8876 8605,,info@cicsgroup.org.uk,http://www.cicsgroup.org.uk
7588,Rainbow Trust Children's Charity,Charity,,N/A telephone and online ,,,,,,01372 220 111,,tomasz.czarnecki@rainbowtrust.org.uk,https://rainbowtrust.org.uk/
6077,Rape Crisis South London,Charity,,N/A Telephone & Online Only,,,,,,0808 802 9999,,info@rasasc.org.uk,http://www.rasasc.org.uk/
11370,Chattertime At Tree House Children's Centre,Speech And Language Therapy,,Tree House Children's Centre,66 Upper Tulse Hill,,,London,SW2 2RW,020 8674 6060,,cc@maytree-school.org.uk,https://padlet.com/betterstartclaphambrixtonhill/Bookmarks
11368,Early Words Together - 2 Years Literacy Development At Hitherfield Children's Centre,Speech And Language Therapy,,Hillside Gardens One O'Clock Club,Hillside Road,,,London,SW2 3HL,020 8835 9569,,ccadmin@hitherfield.co.uk,https://www.hitherfield.co.uk/key-information-2/childrens-centre
11167,Chattertime At Benton's Lane Children's Centre,Speech And Language Therapy,,Benton's Lane Children's centre,18 Benton's Lane,,,London,SE27 9UD,020 4542 3520,,ccadmin@hitherfield.co.uk,https://www.hitherfield.co.uk/key-information-2/childrens-centre
11191,Leap - Chattertime At Tree House Children's Centre,Speech And Language Therapy,,Tree House Children's Centre,Upper Tulse Hill,,,London,SW2 2RW,0208 674 6060,,rpope@maytree-school.org.uk,https://padlet.com/betterstartclaphambrixtonhill/Bookmarks
10952,Chattertime At Sunnyhill Children's Centre,Speech And Language Therapy,,Sunnyhill Children's Centre ,Harborough Road,,,London,SW16 2XW,020 4548 2561 ,,ccadmin@hitherfield.co.uk,https://www.hitherfield.co.uk/key-information-2/childrens-centre
10930,Making It Real @ Benton's Lane,Speech And Language Therapy,,Benton's Lane Children's Centre,Benton's Lane,,,London,SE27 9UD,020 4542 3520,,ccadmin@hitherfield.co.uk,https://www.hitherfield.co.uk/key-information-2/childrens-centre
10911,Online Chattertime With Evelina London S.L.T.,Speech And Language Therapy,,,,,,,,,,,facebook.com/evelinalondonslt
10289,L.E.A.P. Virtual Baby Chattertime (0-15 Months Old),Speech And Language Therapy,,N/A Online Only,,,,,,,,cmartinez@ncb.org.uk,https://www.leaplambeth.org.uk/families/learning/chattertime
10171,Lambeth Talking Therapies At Tree House Children's Centre,Speech And Language Therapy,,Tree house Children's Centre,66 Upper Tulse Hill,,,London,SW2 2RW,0208 674 6060,,cc@maytree-school.org.uk,https://beta.lambeth.gov.uk/family-information-directory/10086-clapham-brixton-hill-better-start-area-tree-house-childrens-centre
10174,Chattertime At Maytree Children's Centre,Speech And Language Therapy,,Maytree Children's Centre,4 Allingham Road,,,London,SW4 8EG,020 8671 3298,,cc@maytree-school.org.uk,https://beta.lambeth.gov.uk/children-young-people-families/childrens-centres
9948,L.E.A.P. Virtual Chattertime (15 Months - 4 Years Old),Speech And Language Therapy,,N/A Online Only,,,,,,07949 077 406,,cmartinez@ncb.org.uk,https://www.leaplambeth.org.uk/families/learning/chattertime
10029,Chattertime At Ethelred Children's Centre - Invite Only,Speech And Language Therapy,,Ethelred Children's Centre ,Gundulf Street,,,London,SE11 6BG,020 7582 9711 Option 2,,ccadmin@ethelred-nursery.lambeth.sch.uk,https://www.ethelrednursery.org.uk/current-events-and-timetable.html
10038,Chattertime At Stockwell Children's Centre,Speech And Language Therapy,,Stockwell Children's Centre,Burgoyne Road,,,London,SW9 9QJ,020 7326 7328,07398 131 353,clericalofficer1@stockwell-pri.lambeth.sch.uk,https://www.lambeth.gov.uk/childrenscentres
10898,Virtual Breastfeeding Support Group,Breastfeeding Support,,N/A Online Only,,,,,,07394 724 599 To Book,,bthcc@jubilee.Lambeth.sch.uk,
10868,L.E.A.P. Pregnancy Information For Nutrition And Exercise (P.I.N.E.),Diet And Nutrition,,Liz Atkinson Children's Centre,9 Mostyn Road,,,London,SW9 6PH,,07342 076 322,deborah.ricketts@gstt.nhs.uk,https://www.leaplambeth.org.uk/families/health/pregnancy-information-for-nutrition-and-exercise-pine
10869,L.E.A.P. Family Nutrition (HENRY),Diet And Nutrition,,Liz Atkinson Children's Centre,9 Mostyn Road,,,London,SW9 6PH,,07923 217 516,lambeth.support@henry.org.uk,
10845,L.E.A.P. Portion Sizes Workshop,Diet And Nutrition,,N/A Online Only,,,,,,,,Lambeth.support@henry.org.uk,https://bit.ly/LEAP-Family-Nutrition-Service-Registration-and-Consent-Form
10846,L.E.A.P. Eat Well For Less,Diet And Nutrition,,N/A Online Only,,,,,,,,Lambeth.support@henry.org.uk,https://bit.ly/LEAP-Family-Nutrition-Service-Registration-and-Consent-Form
10141,Introduction To Solid Foods At Clapham Manor Children's Centre,Diet And Nutrition,,Clapham Manor Children's Centre,16 Belmont Close,,,London,SW4 6AT,020 7627 9917,,bwilhelm-exley@maytree-school.org.uk,https://www.clapham-manorcc.co.uk/
10904,Rose Vouchers At Jubilee Children's Centre,Diet And Nutrition,,Jubilee Children's Centre,Tulse Hill,,,London,SW2 2JE,020 8678 6530,,bthcc@jubilee.lambeth.sch.uk,https://beta.lambeth.gov.uk/children-young-people-families/childrens-centres
10916,Rose Vouchers At Loughborough Children's Centre,Diet And Nutrition,,Loughborough Childrens Centre,Minet Road,Minet Road,,London,SW9 7UA,020 7274 8374,,,
10932,Chat And Play With A Better Start Worker At Benton's Lane Children's Centre,Parenting Support,,Benton's Lane Children's Centre ,18 Benton's Lane,,,London,SE27 9UD,020 4542 3520,,ccadmin@hitherfield.co.uk,https://www.hitherfield.co.uk/key-information-2/childrens-centre
10338,Being A Parent,Parenting Support,,,,,,,,,,,https://www.lambeth.gov.uk/BeingAParent
10339,"Strengthening Families, Strengthening Communities (SFSC)",Parenting Support,,,,,,,,,,,https://www.lambeth.gov.uk/SFSC
10340,Circle Of Security Parenting,Parenting Support,,,,,,,,,,,https://www.lambeth.gov.uk/COSP
10341,Building Relationships For Stronger Families,Parenting Support,,,,,,,,,,,https://www.lambeth.gov.uk/BRSF
10342,Baby Steps,Parenting Support,,,,,,,,,,,https://www.lambeth.gov.uk/BabySteps
10794,Baby And Us,Parenting Support,,,,,,,,,,,https://www.lambeth.gov.uk/BabyAndUs
10795,Living With Teenagers,Parenting Support,,,,,,,,,,,https://www.lambeth.gov.uk/LWT
10796,"Intro To Strenghtening Families, Strengthening Communities",Parenting Support,,,,,,,,,,,https://www.lambeth.gov.uk/ISFSC
10797,Henry Healthy Families Programme,Parenting Support,,,,,,,,,,,https://www.lambeth.gov.uk/HENRY
10832,Small Project Baby Clothes Library @ Oasis Hub Waterloo,Parenting Support,,1 Kennington Road,,,,London,SE1 7QP,020 7921 4205,,playspace@oasiswaterloo.org,http://www.oasiswaterloo.org/oasis-playspace/
9969,The Small Project - Baby Clothes Library,Parenting Support,,Oasis Playspace,Imperial War Museum,Lambeth Road,,London,SE1 6HZ,07828 520 325,,linda@thesmallproject.org.uk,https://www.thesmallproject.org.uk/
10069,Baby Explorers At Henry Fawcett Children's Centre,Children's Centre Stay And Play,,Henry Fawcett Children's Centre,Clayton Street,,,London,SE11 5BZ,020 7091 1282,,ccadmin@henryfawcett.lambeth.sch.uk ,https://www.lambeth.gov.uk/children-young-people-and-families/childrens-centres
10052,Stay And Play At Liz Atkinson Children's Centre,Children's Centre Stay And Play,,Liz Atkinson Children's Centre,9 Mostyn Road,,,London,SW9 6PH,020 4530 5735,07572 156 582,lizatkinsoncc@jsfederation.org.uk,https://www.lambeth.gov.uk/childrenscentres
10055,Toddler Story And Song Time At Stockwell Children's Centre,Children's Centre Stay And Play,,Stockwell Children's Centre,Burgoyne Road,,,London,SW9 9QJ,07398 131 353,,clericalofficer1@stockwell-pri.lambeth.sch.uk ,https://www.lambeth.gov.uk/childrenscentres
10119,Baby Explorers At Hitherfield Children's Centre,Children's Centre Stay And Play,,Hitherfield Children's Centre,Hitherfield Road,,,London,SW16 2LW,020 8835 9569,,ccadmin@hitherifield.co.uk,https://www.hitherfield.co.uk/key-information-2/childrens-centre
10125,Natural Thinkers At Brockwell One O'Clock Club,Children's Centre Stay And Play,,One O Clock Club,Brockwell Park,Arlingford Road,,London,SW2 2TA,020 8678 9160,,bthcc@jubilee.lambeth.sch.uk,https://www.lambeth.gov.uk/childrenscentres
10130,Toddler Time At Clapham Manor Children's Centre,Children's Centre Stay And Play,,Clapham Manor Children's Centre,16 Belmont Close,,,London,SW4 6AT,020 7627 9917,,cc@maytree-school.org.uk,https://www.clapham-manorcc.co.uk/
10132,Messy Play Small Group At Tree House Children's Centre,Children's Centre Stay And Play,,Tree House Children's Centre,Upper Tulse Hill,,,London,SW2 2RW,0208 674 6060,,cc@maytree-school.org.uk,https://www.lambeth.gov.uk/childrenscentres
10133,Muslim Women's Group At Brockwell One O'Clock Club,Children's Centre Stay And Play,,One O Clock Club,Brockwell Park,Arlingford Road,,London,SW2 2TA,0208 678 6530,,bthcc@jubilee.lambeth.sch.uk,https://www.lambeth.gov.uk/childrenscentres
10107,Baby And Me Messy Play At Loughborough Children's Centre,Children's Centre Stay And Play,,Loughborough Children's Centre,Minet Road,,,London,SW9 7UA,0207 274 8374,07961 517 043,bthcc@jubilee.lambeth.sch.uk,https://www.lambeth.gov.uk/childrenscentres
10117,Small Group Stay And Play 0 To 4 Years At Streatham Hub Children's Centre,Children's Centre Stay And Play,,Streatham Hub Children's Centre     ,Streatham United Reformed Church,388 Streatham High Road,,London,SW16 6HX,020 4548 2561,,ccadmin@hitherfield.co.uk,https://www.hitherfield.co.uk/key-information-2/childrens-centre
10693,Chat And Play With A Better Start Worker At Sunnyhill Children's Centre,Children's Centre Stay And Play,,Sunnyhill Children's Centre,Harborough Road,,,London,SW16 2UW,020 4548 2561,,ccadmin@hitherfield.co.uk,https://www.hitherfield.co.uk/key-information-2/childrens-centre
10900,Stay And Play At Loughborough Children's Centre,Children's Centre Stay And Play,,Loughborough Children's Centre,Minet Road,,,London,SW9 7UA,0207 274 8374,07961 517 043,bthcc@jubilee.Lambeth.sch.uk,https://beta.lambeth.gov.uk/children-young-people-families/childrens-centres
10322,Baby Singalong At Maytree Children's Centre,Children's Centre Stay And Play,,Maytree Children's Centre,4 Allingham Road,,,London,SW4 8EG,020 86713298,,cc@maytree-school.org.uk,https://www.clapham-manorcc.co.uk/current-events.html
10142,Rising Stars Stay And Play At Jubilee Children's Centre,Children's Centre Stay And Play,,Jubilee Children's Centre,Tulse Hill,,,London,SW2 2JE,0208 678 6530,,bthcc@jubilee.lambeth.sch.uk,
10150,Baby Explorers At Clapham Manor Children's Centre,Children's Centre Stay And Play,,Clapham Manor Children's Centre Children,16 Belmont Close,,,London,SW4 6AT,020 7627 9917,,cc@maytree-school.org.uk,https://www.clapham-manorcc.co.uk/
10152,Sensory Room Experience @ Clapham Manor Children's Centre,Children's Centre Stay And Play,,Clapham Manor Children's Centre ,16 Belmont Close,,,London,SW4 6AT,020 7627 9917,,cc@maytree-school.org.uk,https://www.clapham-manorcc.co.uk/
10195,Wriggle And Rhyme At Tree House Children's Centre,Children's Centre Stay And Play,,Tree House Children's Centre,66 Upper Tulse Hill,,,London,SW2 2RW,020 8674 6060,,cc@maytree-school.org.uk,https://padlet.com/betterstartclaphambrixtonhill/Bookmarks
10934,Natural Thinkers At Hillside Gardens One O'Clock Club,Children's Centre Stay And Play,,Hillside Gardens One O'Clock Club ,Hillside Road,,,London,SW2 3HL,020 8835 9569,,ccadmin@hitherfield.co.uk,https://www.hitherfield.co.uk/key-information-2/childrens-centre
10922,Small Group Baby Explorers 0 To 18 Months At Benton's Lane Children's Centre,Children's Centre Stay And Play,,Benton's Lane Children's Centre,18 Benton's Lane,,,London,SE27 9UD,020 4542 3520,,ccadmin@hitherfield.co.uk,https://www.hitherfield.co.uk/key-information-2/childrens-centre
10923,Small Group Stay And Play 0 To 4 Years At Benton's Lane Children's Centre,Children's Centre Stay And Play,,Benton's Lane Children's Centre ,18 Benton's Lane,,,London,SE27 9UD,020 4542 3520,,ccadmin@hitherfield.co.uk,https://www.hitherfield.co.uk/key-information-2/childrens-centre
10915,Sing And Read With Me,Children's Centre Stay And Play,,N/A Online Monthly,,,,,,,07961 517 043,bthcc@jubilee.Lambeth.sch.uk,
10910,Small Group Chatterbox  At Loughborough Children's Centre,Children's Centre Stay And Play,,Loughborough Childrens Centre,Minet Road,,,London,SW9 7UA,0207 274 8374,07961 517 043,bthcc@jubile.Lambeth.sch.uk,
10957,Small Group Stay And Play 0 To 4 Years At Hitherfield Children's Centre,Children's Centre Stay And Play,,Hitherfield Children's Centre,Hitherfield Road,,,London,SW16 2LW,020 8835 9569,,ccadmin@hitherfield.co.uk,https://www.hitherfield.co.uk/key-information-2/childrens-centre
10958,Small Group A.S.D. Stay And Play At Hillside Gardens One O'Clock Club,Children's Centre Stay And Play,,Hillside Gardens One O'Clock Club,Hillside Road,,,London,SW2 3HL,020 8835 9569,,ccadmin@hitherfield.co.uk,https://www.hitherfield.co.uk/key-information-2/childrens-centre
10963,Stay And Play At Jessop Children's Centre,Children's Centre Stay And Play,,Jessop Children's Centre,Lowden Road,,,London,SE24 0BJ,020 7737 5164,07920157180,ccadmin@jessop.lambeth.sch.uk,https://www.lambeth.gov.uk/childrenscentres
10964,Chat And Play At Liz Atkinson Children's Centre,Children's Centre Stay And Play,,Liz Atkinson Children's Centre,9 Mostyn Road,,,London,SW9 6PH,020 4530 5735,,chudson@stockwell-pri.lambeth.sch.uk,https://www.lambeth.gov.uk/childrenscentres
10927,Messy Play At Benton's Lane Children's Centre,Children's Centre Stay And Play,,Benton's Lane Children's Centre ,18 Benton's Lane,,,London,SE27 9UD,020 4542 3520,,ccadmin@hitherfield.co.uk,https://www.hitherfield.co.uk/key-information-2/childrens-centre
10929,Stay And Play At Sunnyhill Children's Centre,Children's Centre Stay And Play,,Sunnyhill Children's Centre ,Harborough Road,,,London,SW16 2XW,02045482561,,ccadmin@hitherfield.co.uk,https://www.hitherfield.co.uk/key-information-2/childrens-centre
10948,Small Group Baby Explorers 0 To18 Months At Sunnyhill Children's Centre,Children's Centre Stay And Play,,Sunnyhill Children's Centre,Harborough Road,,,London,SW16 2XW,020 4548 2561,,ccadmin@hitherfield.co.uk,https://www.hitherfield.co.uk/key-information-2/childrens-centre
11168,Childminders And Professional Carers' Group Benton's Lane Children's Centre,Children's Centre Stay And Play,,Hillside Gardens One O'Clock Club ,Hillside Road,,,London,SW2 3HL,020 8835 9569,,ccadmin@hitherfield.co.uk,https://www.hitherfield.co.uk/key-information-2/childrens-centre
11171,Natural Thinkers Family Fun At Liz Atkinson Children's Centre,Children's Centre Stay And Play,,Liz Atkinson Children's Centre,Mostyn Road,,,London,SW9 6PH,020 4530 5735,07572 156 582,lizatkinsoncc@jsfederation.org.uk,https://beta.lambeth.gov.uk/children-young-people-families/childrens-centres
11153,Toddlers Explorers - 9 Months And Over At Ethelred Children's Centre,Children's Centre Stay And Play,,Ethelred Children's Centre,Gundulf Street,,,London,SE11 6BG,0207 582 9711 Option 2,,ccadmin@ethelred-nursery.lambeth.sch.uk,https://www.ethelrednursery.org.uk/stay-and-play-sessions.html
11122,Baby Explorers At Streatham Hub Children's Centre,Children's Centre Stay And Play,,Streatham Hub Children's Centre,388 Streatham High Road,,,London,SW16 6HX,020 4548 2561,,ccadmin@hitherfield.co.uk,https://www.hitherfield.co.uk/key-information-2/childrens-centre
11123,Play Out! 18 Months To 4 Years At Hillside One O'Clock Club,Children's Centre Stay And Play,,Hillside One O'Clock Club,Hillside Road,,,London,SW2 3HL,020 8835 9569,,ccadmin@hitherfield.co.uk,https://www.hitherfield.co.uk/key-information-2/childrens-centre
11092,Stay And Play At Stockwell Children's Centre,Children's Centre Stay And Play,,Stockwell Children's Centre,Burgoyne Road,,,London,SW9 9QJ,020 7326 7327,07398 131 353,clericalofficer1@stockwell-pri.lambeth.sch.uk,https://www.lambeth.gov.uk/childrenscentres
11120,Play Out! 18 Months To 4 Years At Hitherfield Children's Centre,Children's Centre Stay And Play,,Hitherfield Children's Centre ,Hitherfield Road,,,London,SW16 2LW,020 8835 9569,,ccadmin@hitherfield.co.uk,https://www.hitherfield.co.uk/key-information-2/childrens-centre
11080,Baby Explorers 0 To 8 Months At Ethelred Children's Centre,Children's Centre Stay And Play,,Ethelred Children's Centre,1 Gundulf Street,London,,London,SE11 6BG,020 7852 9711 Option 2,,ccadmin@ethelred-nursery.lambeth.sch.uk,https://www.ethelrednursery.org.uk/stay-and-play-sessions.html
11084,Natural Thinkers At Ethelred Children's Centre,Children's Centre Stay And Play,,Ethelred Children's Centre ,Gundulf Street,,,London,SE11 6BG,020 7582 9711 Option 2 ,,ccadmin@ethelred-nursery.lambeth.sch.uk,https://www.ethelrednursery.org.uk/stay-and-play-sessions.html
11394,Play Out! At Benton's Lane Children's Centre,Children's Centre Stay And Play,,BBenton's Lane Children's Centre,18 Benton's Lane,,,London,SE27 9UD,020 4542 3520,,ccadmin@hitherfield.co.uk,https://www.hitherfield.co.uk/key-information-2/childrens-centre
10193,E.S.O.L. At Loughborough Children's Centre,Children's Centre Esol,,Loughborough Childrens Centre,Minet Road,,,London,SW9 7UA,020 7274 8374,07961 517 043,bthcc@jubilee.Lambeth.sch.uk,https://beta.lambeth.gov.uk/children-young-people-families/childrens-centres
10155,E.S.O.L. At Clapham Manor Children's Centre,Children's Centre Esol,,Clapham Manor Children's Centre ,16 Belmont Close,,,London,SW4 6AT,020 7627 9917,,cc@maytree-school.org.uk,https://www.clapham-manorcc.co.uk/
10122,E.S.O.L. At Benton's Lane Children's Centre,Children's Centre Esol,,Benton's Lane Children's Centre  ,18 Benton's Lane,,,London,SE27 9UD,020 4542 3520,,ccadmin@hitherfield.co.uk,https://www.hitherfield.co.uk/key-information-2/childrens-centre
10036,Spanish And Portuguese Chat And Play At Stockwell Children's Centre,Children's Centre Esol,,Stockwell Children's Centre,Burgoyne Road,,,London,SW9 9QJ,020 7326 7328,07398 131 353,clericalofficer1@stockwell-pri.lambeth.sch.uk ,https://www.lambeth.gov.uk/childrenscentres
10149,Creative Arts And Wellbeing Course  At Treehouse Children's Centre,Children's Centre Adult Learning,,Treehouse Children's Centre,66 Upper Tulse Hill,,,London,SW2 2RW,020 8674 6060,,cc@maytree-school.org.uk,https://padlet.com/betterstartclaphambrixtonhill/Bookmarks
10041,Get Going With Sewing At Stockwell Children's Centre,Children's Centre Adult Learning,,Stockwell Primary School,Stockwell Road,,,London,SW9 9TG,020 7326 7328,07398 131 353,clericalofficer1@stockwell-pri.lambeth.sch.uk,https://www.lambeth.gov.uk/childrenscentres
10164,Hand Sewing Embroidery Class At Loughborough Children's Centre,Children's Centre Adult Learning,,Loughborough Children's Centre,Minet Road,,,London,SW9 7UA,020 7874 8374,,bthcc@jubilee.lambeth.sch.uk,
10878,Making It Real @  Agnes Riley,Children's Centre Adult Learning,,Agnes Riley One O' Clock Club,Atkins Road,,,London,SW12 0AH,020 8671 3298,,cc@maytree-school.org.uk ,https://www.maytree-nursery.lambeth.sch.uk/current-activities-and-timetable.html
